Metric,Baseline (RF),Improved (RF),Improvement
Accuracy,0.9021526418786693,0.8542074363992173,+-5.3%
Precision,0.12121212121212122,0.16326530612244897,+34.7%
Recall,0.16,0.48,+200.0%
F1 Score,0.13793103448275862,0.2436548223350254,+76.6%
AUC-ROC,0.0,0.7909567901234568,N/A
